iter;num;solve;time
3;47;True;0.050073799999999835;
4;47;True;0.05026590000000297;
5;47;True;0.04630690000000115;
6;47;True;0.062453800000000115;
7;47;True;0.06258410000000225;
8;47;True;0.053860300000000194;
9;47;True;0.07591320000000223;
0;48;True;0.3874467000000017;
1;48;True;0.4964213999999991;
2;48;True;0.2908255000000004;
3;48;True;0.4272162999999978;
4;48;True;0.4394556999999999;
5;48;True;0.44631860000000145;
6;48;True;0.41133920000000046;
7;48;True;0.9127809000000013;
8;48;True;0.1606962999999979;
9;48;True;0.7643198000000027;
0;49;True;0.06758819999999943;
1;49;True;0.12721460000000206;
2;49;True;0.09021170000000112;
3;49;True;0.13077279999999902;
4;49;True;0.09826520000000016;
5;49;True;0.08251169999999775;
6;49;True;0.1251932999999994;
7;49;True;0.0771191999999985;
8;49;True;0.13155569999999983;
9;49;True;0.09833950000000158;
